"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"0610005C13Rik","Group",0.228304547598902,0.443369131451188,"DMSO","DESeq2","DMSO vs T4400",1.68888724940398,0.756073016620417
"0610007P14Rik","Group",0.951350847542218,0.977010616242851,"T4400","DESeq2","DMSO vs T4400",0.996826109327529,-0.00458623829908685
"0610009B22Rik","Group",0.422545718296817,0.633380537399876,"DMSO","DESeq2","DMSO vs T4400",1.04115631207599,0.0581866812479985
"0610009L18Rik","Group",0.160785361928743,0.356466379241056,"DMSO","DESeq2","DMSO vs T4400",1.34044865551009,0.422715959447572
"0610009O20Rik","Group",0.118054342331098,0.294257629055633,"T4400","DESeq2","DMSO vs T4400",0.92717643263128,-0.109084199119008
"0610010F05Rik","Group",0.245576970592256,0.463795233585374,"DMSO","DESeq2","DMSO vs T4400",1.13018144059953,0.176554403118454
"0610010K14Rik","Group",0.264327943091956,0.486032588967957,"T4400","DESeq2","DMSO vs T4400",0.944289250218722,-0.0826992480789106
"0610011F06Rik","Group",0.107375452152375,0.277047733040373,"T4400","DESeq2","DMSO vs T4400",0.895035057333635,-0.159983902956444
"0610012G03Rik","Group",0.681158901465078,0.82255797617309,"DMSO","DESeq2","DMSO vs T4400",1.02836210679617,0.0403483556727206
"0610030E20Rik","Group",0.97513847259323,0.987422769629436,"DMSO","DESeq2","DMSO vs T4400",1.00202396647533,0.00291701542095585
"0610037L13Rik","Group",0.109863538486425,0.281141303232525,"T4400","DESeq2","DMSO vs T4400",0.909086508968402,-0.137510506605245
"0610038B21Rik","Group",0.614523127012484,0.779096272138334,"DMSO","DESeq2","DMSO vs T4400",1.17772196755781,0.235998993014847
"0610040B10Rik","Group",0.974286021692327,0.987204444505279,"T4400","DESeq2","DMSO vs T4400",0.990600404764773,-0.0136248844217872
"0610040J01Rik","Group",0.183117825335077,0.387458816162184,"DMSO","DESeq2","DMSO vs T4400",4.95123139968359,2.30778737636021
"1110001J03Rik","Group",0.0415378495178295,0.151978154453724,"T4400","DESeq2","DMSO vs T4400",0.816507321786993,-0.292462272102935
"1110002L01Rik","Group",0.720283979554996,0.848163720240068,"T4400","DESeq2","DMSO vs T4400",0.954315615253981,-0.0674616155978347
"1110004E09Rik","Group",0.548553013043147,0.731609525684595,"DMSO","DESeq2","DMSO vs T4400",1.05612659099615,0.0787827714922613
"1110004F10Rik","Group",0.0604020563018886,0.19319974881826,"T4400","DESeq2","DMSO vs T4400",0.887135337336079,-0.172773882571186
"1110006O24Rik","Group",0.871851642070027,0.939008680828682,"DMSO","DESeq2","DMSO vs T4400",1.05899515548946,0.082695989549966
"1110007C09Rik","Group",0.0245298607144836,0.108077109088566,"DMSO","DESeq2","DMSO vs T4400",1.18033421246539,0.239195417550729
"1110008F13Rik","Group",0.750449270475468,0.867895525994531,"DMSO","DESeq2","DMSO vs T4400",1.02475224936649,0.0352751567414875
"1110008L16Rik","Group",0.55279899237594,0.734932093309065,"DMSO","DESeq2","DMSO vs T4400",1.02832054598342,0.0402900485942062
"1110008P14Rik","Group",0.386739385879845,0.602996699324318,"DMSO","DESeq2","DMSO vs T4400",1.06354166230351,0.0888765493506566
"1110012L19Rik","Group",0.536435229247579,0.722895586683593,"DMSO","DESeq2","DMSO vs T4400",1.06043024140787,0.0846497187608963
"1110019D14Rik","Group",0.701917347930281,0.835657807418042,"DMSO","DESeq2","DMSO vs T4400",1.06022868842874,0.0843754837292725
"1110020A21Rik","Group",0.570790756021732,0.748509104498523,"DMSO","DESeq2","DMSO vs T4400",1.21053781416464,0.275648146214767
"1110032A03Rik","Group",0.699845286072947,0.834446694605942,"T4400","DESeq2","DMSO vs T4400",0.971554438993938,-0.0416332584527959
"1110034G24Rik","Group",0.0502390667091959,0.172636175178318,"DMSO","DESeq2","DMSO vs T4400",1.20107051020344,0.264320848574645
"1110037F02Rik","Group",0.75109032192054,0.868182195426386,"DMSO","DESeq2","DMSO vs T4400",1.01801056546899,0.0257525345674614
"1110038B12Rik","Group",0.027942422691527,0.118456192020176,"DMSO","DESeq2","DMSO vs T4400",1.18998139651402,0.2509390194435
"1110038F14Rik","Group",0.424565113738432,0.635159758072801,"T4400","DESeq2","DMSO vs T4400",0.96176729322227,-0.0562402295058828
