"primary","shannon","simpson","invsimpson","observerd_index","chao1","ACE"
"J_XYL_F_0001_01",0.923123576744246,0.479966252755897,1.92295212627922,8,8,NA
"J_XYL_F_0001_02",1.00198520212407,0.49855569047548,1.99423940207482,19,19,19
"J_XYL_F_0002_01",1.84017821484925,0.735603908879875,3.78220417617922,17,17,17
"J_XYL_F_0002_02",1.87139985941065,0.74044428335344,3.8527373348579,22,22,22
"J_XYL_F_0003_01",1.97269511252485,0.79126719680049,4.79081382835732,12,12,NA
"J_XYL_F_0003_02",1.36147714232776,0.62177654550712,2.64393968200834,17,17,17
"J_XYL_F_0004_01",1.73296311668712,0.706107308090027,3.40260247201494,17,17,NA
"J_XYL_F_0004_02",1.41942937551104,0.629337632160388,2.69787301534939,21,21,21
"J_XYL_F_0005_01",1.48534310782976,0.648056570787942,2.84136573380225,17,17,17
"J_XYL_F_0005_02",1.84306758147253,0.745344250579601,3.92686991075606,20,20,20
"J_XYL_F_0006_01",0.994721097092283,0.519307578300549,2.08033235985826,7,7,NA
"J_XYL_F_0006_02",1.21160646068186,0.641631884285447,2.79042681575087,6,6,NA
"J_XYL_F_0010_01",1.65128983771191,0.684590624744048,3.17048280251184,21,21,22.08
"J_XYL_F_0010_02",1.43623189694366,0.553579975031937,2.24004288354121,22,22,22
"J_XYL_F_0012_01",1.4460134208884,0.610624121394235,2.56821250350867,16,16,NA
"J_XYL_F_0012_02",1.30627231879593,0.514937803194439,2.06159128991216,21,21,NA
"J_XYL_F_0013_01",1.52859349566783,0.646757111111111,2.83091332183773,21,21,21
"J_XYL_F_0013_02",0.828363007076233,0.40662023973029,1.68526139069096,13,13,NA
"J_XYL_F_0015_01",1.64055589353679,0.74046350242391,3.8530226358889,13,13,NA
"J_XYL_F_0015_02",1.71907994275744,0.731274388254504,3.72126792643448,16,16,NA
"J_XYL_F_0016_01",2.05814145618596,0.786874100677293,4.69206231236045,21,21,NA
"J_XYL_F_0016_02",1.58085112766934,0.705367137324769,3.39405452236428,16,16,16
"J_XYL_F_0018_01",1.74871744028509,0.688514587698476,3.21042321889533,23,23,NA
"J_XYL_F_0018_02",1.64143673583826,0.743912367566893,3.90491329276204,10,10,NA
"J_XYL_F_0020_01",1.68308092944776,0.67351969127054,3.06297186464821,19,19,19
"J_XYL_F_0020_02",1.6647862730074,0.716474420452887,3.52701862596433,16,16,NA
"J_XYL_F_0025_01",1.79842635033132,0.754838909537627,4.07895069366026,15,15,NA
"J_XYL_F_0025_02",1.99318304833464,0.762366532935619,4.20816146965139,25,25,25
"J_XYL_F_0031_01",1.43918461145034,0.554986657636001,2.24712363608651,21,21,NA
"J_XYL_F_0031_02",1.20852507393217,0.534730984679451,2.14929420845066,14,14,NA
"J_XYL_F_0032_01",2.30640047945215,0.859644169275741,7.1247485397638,26,26,26.52448
"J_XYL_F_0032_02",2.07708583931705,0.774795251291097,4.44040370255509,22,22,NA
"J_XYL_F_0034_01",1.79661688093812,0.729194124567476,3.6926820675616,19,19,NA
"J_XYL_F_0034_02",1.27542141129354,0.564296434670958,2.295138437173,18,18,18
"J_XYL_F_0036_01",1.80301888685274,0.769054934741001,4.33003406623356,18,18,NA
"J_XYL_F_0036_02",1.64583280867172,0.747354136334987,3.95810952727852,12,12,NA
"J_XYL_F_0043_01",1.83847155902067,0.711378517803793,3.46474556360359,25,25,25
"J_XYL_F_0043_2",1.63014199324305,0.770350197313509,4.35445616892239,9,9,NA
"J_XYL_F_0044_01",1.34409226450767,0.660510986120368,2.94560341900948,8,8,NA
"J_XYL_F_0044_02",1.34635929831617,0.65385963787677,2.88900142666398,11,11,NA
"J_XYL_F_0045_01",0.655159576236833,0.291327997741516,1.41109003433616,10,10,10
"J_XYL_F_0045_2",0.852157066672615,0.309386765677512,1.44798846923492,21,21,21
"J_XYL_F_0046_01",1.98696348285586,0.750231792355372,4.00371211944959,24,24,24
"J_XYL_F_0046_02",1.6201846026562,0.696251828093906,3.29220088379382,18,18,NA
"J_XYL_F_0047_01",1.33738817631409,0.617971467783935,2.61760553380455,20,20,NA
"J_XYL_F_0047_02",1.68305644985196,0.720789712256522,3.58152992170096,16,16,NA
"J_XYL_F_0048_01",0.593601640840553,0.263159065364327,1.35714501325099,11,11,11
"J_XYL_F_0049_02",1.83924630169647,0.75488309317254,4.07968594636317,17,17,17
"J_XYL_F_0050_01",1.10001237113365,0.481091105516751,1.92712056129977,16,16,NA
"J_XYL_F_0050_02",0.466389615236211,0.290985434007134,1.41040825952518,2,2,NA
"J_XYL_F_0051_01",0.974719599048444,0.483103059462951,1.93462162681987,10,10,10
"J_XYL_F_0051_02",1.73380226788161,0.666098964917847,2.99489937116835,16,16,NA
"J_XYL_F_0053_01",1.87614408929033,0.760241654583354,4.17086628731202,23,23,23
"J_XYL_F_0053_02",1.94917897300532,0.764423963095982,4.24491392733394,23,23,23
"J_XYL_F_0057_01",1.32720335097997,0.650356226711566,2.86005379302169,6,6,NA
"J_XYL_F_0057_02",1.73429540237501,0.744812538452716,3.91868783025889,20,20,NA
"J_XYL_F_0058_01",1.36118265033193,0.595691636450078,2.47335966839708,15,15,NA
"J_XYL_F_0058_02",1.87174877324715,0.764948191897769,4.25438122801026,18,18,18
"J_XYL_F_0059_01",1.91785194723037,0.745688575011002,3.93218668820429,19,19,NA
"J_XYL_F_0059_02",1.85370022896286,0.745584518766055,3.93057841900926,19,19,NA
"J_XYL_F_0060_01",1.68131891982322,0.733311225310925,3.74968913170744,19,19,19
"J_XYL_F_0060_02",1.14826720986163,0.489803672465433,1.96002978859594,20,20,20
"J_XYL_F_0061_01",1.37513606747376,0.544020173862499,2.19307948000851,14,14,NA
"J_XYL_F_0061_02",1.72253684794215,0.678907778167624,3.11437005323051,17,17,17
"J_XYL_F_0062_01",1.98036247684731,0.722781433505002,3.6072619977928,24,24,24
"J_XYL_F_0062_02",1.50784721169586,0.614784835342794,2.59595179979448,19,19,19
"J_XYL_F_0064_01",1.15886323955814,0.467326595619407,1.87732293704963,22,22,NA
"J_XYL_F_0064_02",1.13721128940541,0.528332330550137,2.12013683525599,12,12,12
"J_XYL_F_0065_01",1.75303087283484,0.717891069564051,3.54473003904796,20,20,20
"J_XYL_F_0065_02",1.63698962562398,0.672680840273144,3.0551221041704,18,18,NA
"J_XYL_F_0066_01",1.60372578705148,0.707661519043183,3.4206923314612,12,12,NA
"J_XYL_F_0066_02",1.35120386275817,0.624305446621714,2.66173675132602,13,13,13
"K_XYL_F_0001_01",1.1152806022052,0.570837860369117,2.33012166651067,9,9,9
"K_XYL_F_0001_02",0.678379586621288,0.388121472480107,1.63431131347797,8,8,NA
"K_XYL_F_0002_01",0.855534892557386,0.362840163910787,1.56946490246128,15,15,NA
"K_XYL_F_0002_02",0.902070175779867,0.510015411185105,2.04088051507631,10,10,NA
"K_XYL_F_0003_01",1.38974898599103,0.614526621369535,2.59421287029694,15,15,15
"K_XYL_F_0003_02",1.08472575448203,0.461768171427972,1.85793545999143,14,14,NA
"K_XYL_F_0004_01",0.925507485697651,0.500549495523213,2.00220040031309,8,8,NA
"K_XYL_F_0004_02",0.967211495697948,0.519147143019958,2.07963826248308,10,10,NA
"K_XYL_F_0005_01",1.83749273646849,0.747630401543661,3.96244241032465,14,14,NA
"K_XYL_F_0005_02",1.17853970656317,0.456354203620431,1.83943296657408,14,14,NA
"K_XYL_F_0007_01",1.51975907245511,0.682064917343664,3.14529617695864,13,13,NA
"K_XYL_F_0007_02",1.51103753977381,0.727840033783005,3.67430968595393,9,9,NA
"K_XYL_F_0008_01",1.62488036378156,0.738504626950446,3.82415944243303,15,15,15
"K_XYL_F_0008_02",1.56224409881336,0.692748636514653,3.25466415724366,12,12,NA
"K_XYL_F_0009_01",1.79433959629983,0.755912468410813,4.09689095337756,12,12,12
"K_XYL_F_0009_02",1.72715003155052,0.697044270877075,3.30081230975582,23,23,23
"K_XYL_F_0009_03",1.89217596072877,0.756658856541754,4.10945714230026,19,19,19
"K_XYL_F_0011_01",1.67494949066681,0.69291186555801,3.25639413524427,18,18,NA
"K_XYL_F_0011_02",1.65936366947072,0.664724024877735,2.98261752765116,15,15,NA
