"dimension_coordinate.primary","dimension_coordinate.PC1","dimension_coordinate.PC2","dimension_coordinate.PC3","dimension_axis"
"J_XYL_F_0001_01",-0.0509166508513906,0.0697802836872302,-0.00759405337624379,54.3
"J_XYL_F_0001_02",-0.146070573723291,0.177056914759254,-0.0184735658164344,27.62
"J_XYL_F_0002_01",-0.0630943786683592,-0.0247444945885321,-0.0177182312809475,18.08
"J_XYL_F_0002_02",-0.0925439384831641,-0.0491379095319737,0.0201230869938696,54.3
"J_XYL_F_0003_01",-0.0532443478165165,-0.030756579659134,0.00400854536861123,27.62
"J_XYL_F_0003_02",-0.0752115170358592,-0.0227289926624728,0.421124767732232,18.08
"J_XYL_F_0004_01",-0.075270083310557,-0.0504213264950123,-0.0240436348079779,54.3
"J_XYL_F_0004_02",-0.0743222181647013,-0.0499099503967767,-0.0326332630265801,27.62
"J_XYL_F_0005_01",-0.0467667294129081,-0.0269784455427619,-0.0110324571084307,18.08
"J_XYL_F_0005_02",-0.0779054797683011,0.0217784916341626,-0.0039238137356046,54.3
"J_XYL_F_0006_01",-0.0741906609543221,-0.03336905435191,-0.0236403565633589,27.62
"J_XYL_F_0006_02",-0.0385092865997413,0.00301856415653742,0.0115243551823467,18.08
"J_XYL_F_0010_01",-0.0926709074710212,-0.00249044385088561,-0.0154848508037478,54.3
"J_XYL_F_0010_02",-0.115933771828303,-0.093999681759209,-0.034153177817715,27.62
"J_XYL_F_0012_01",-0.0561731412540611,-0.00360309622830497,0.422518009473702,18.08
"J_XYL_F_0012_02",-0.0359252602794719,-0.00904850514474022,0.364975486377134,54.3
"J_XYL_F_0013_01",-0.0818101938614482,-0.0405473324150242,-0.0137460145225616,27.62
"J_XYL_F_0013_02",-0.128078777590594,-0.092839042268091,-0.0380938543458874,18.08
"J_XYL_F_0015_01",-0.055671215981635,0.0384686726967233,-0.00368627397845962,54.3
"J_XYL_F_0015_02",-0.0361466334550592,-0.00245162375028487,0.0278952715617713,27.62
"J_XYL_F_0016_01",-0.0574811195738693,0.0537800861798864,0.0153667083674223,18.08
"J_XYL_F_0016_02",-0.0505380889079839,0.00196493989566245,-0.00675106047232068,54.3
"J_XYL_F_0018_01",-0.0967272085200407,-0.045664250228479,-0.0176653838572926,27.62
"J_XYL_F_0018_02",-0.0197243300611591,-0.0187432527433068,-0.00641961109772909,18.08
"J_XYL_F_0020_01",-0.0967604757320099,-0.0677090347847916,-0.0298118897364013,54.3
"J_XYL_F_0020_02",-0.0449091134293836,0.0290280185059103,-0.00466758532576394,27.62
"J_XYL_F_0025_01",-0.0570131082433792,0.0399325783163808,-0.00992151179438406,18.08
"J_XYL_F_0025_02",-0.0833325658463692,0.0359858553024599,-0.0150831675821761,54.3
"J_XYL_F_0031_01",-0.121776141076062,-0.103679682871733,-0.0371554644643168,27.62
"J_XYL_F_0031_02",-0.0906039921343943,-0.053578707522799,-0.0296576731270866,18.08
"J_XYL_F_0032_01",-0.040764493611984,-0.000541128395838277,-0.00990978102805395,54.3
"J_XYL_F_0032_02",-0.068950891277533,-0.0128650264113642,-0.018460374515778,27.62
"J_XYL_F_0034_01",-0.0900628702719362,0.0128719147902208,-0.021108261886963,18.08
"J_XYL_F_0034_02",-0.106817223187798,0.158801825140697,-0.011238425534406,54.3
"J_XYL_F_0036_01",-0.0658722571248162,0.00882430840919852,-0.0125161363894921,27.62
"J_XYL_F_0036_02",-0.0369157452913837,-0.000383552387353394,-0.00989768822208842,18.08
"J_XYL_F_0043_01",-0.107314308795846,-0.0337820376840951,-0.0301142413779967,54.3
"J_XYL_F_0043_2",-0.0381504564597703,0.00462902029339549,-0.00612740616612259,27.62
"J_XYL_F_0044_01",-0.0837164796490922,-0.0200469413299495,-0.0250169955227906,18.08
"J_XYL_F_0044_02",-0.0712653560340705,0.0233324261404185,-0.0176281783319397,54.3
"J_XYL_F_0045_01",-0.103504202116332,0.221154725362094,-0.00319099289707946,27.62
"J_XYL_F_0045_2",-0.153143541182991,0.355602921372441,0.000239672355271981,18.08
"J_XYL_F_0046_01",-0.0681954832207535,-0.0249998630221549,-0.0128694512045601,54.3
"J_XYL_F_0046_02",-0.0970986553374063,0.0162266902140918,-0.0231071414620612,27.62
"J_XYL_F_0047_01",-0.110860648189744,0.0506879570178472,-0.0256826710842224,18.08
"J_XYL_F_0047_02",-0.0758118199443226,0.00139232694399463,-0.0186819685275207,54.3
"J_XYL_F_0048_01",-0.0980522496145867,0.213339659201484,-0.00712944012555063,27.62
"J_XYL_F_0049_02",-0.0778306415473764,0.030318446774878,-0.0156867561439371,18.08
"J_XYL_F_0050_01",-0.111804403526407,0.193689364106233,-0.00781196331598805,54.3
"J_XYL_F_0050_02",-0.0124362951840115,0.0345025430571008,-0.000137204594448969,27.62
"J_XYL_F_0051_01",-0.116903144909977,0.180961749340394,-0.0154460091344441,18.08
"J_XYL_F_0051_02",-0.0524775294852587,-0.0522016821052383,-0.0084959312185003,54.3
"J_XYL_F_0053_01",-0.0929047286309772,-0.0284520581003282,0.0971019404868242,27.62
"J_XYL_F_0053_02",-0.058214991935281,-0.0259876910479303,0.046397661763957,18.08
"J_XYL_F_0057_01",-0.0590454233759277,0.0627262595018099,-0.0105990104023403,54.3
"J_XYL_F_0057_02",-0.0729678023816445,0.0173036727361491,-0.00673400081838905,27.62
"J_XYL_F_0058_01",-0.0878540633050619,0.129512858099206,-0.0105993854521561,18.08
"J_XYL_F_0058_02",-0.0717539511439837,-0.0140241736895829,-0.0195359457508283,54.3
"J_XYL_F_0059_01",-0.0665445795000836,-0.0279710857608672,-0.0138445310781486,27.62
"J_XYL_F_0059_02",-0.0847378652422943,-0.0238518269581666,-0.00126677631780253,18.08
"J_XYL_F_0060_01",-0.058618042325549,0.0159153964524539,-0.0119264357937116,54.3
"J_XYL_F_0060_02",-0.115298874029012,-0.0808582815585237,-0.039698337774742,27.62
"J_XYL_F_0061_01",-0.0864806845100093,-0.0852592590979694,-0.0317424679098377,18.08
"J_XYL_F_0061_02",-0.0491446859361835,-0.0398928851062681,-0.017089354657564,54.3
"J_XYL_F_0062_01",-0.0869279351018621,-0.0611966139069829,0.00739442555161886,27.62
"J_XYL_F_0062_02",-0.0847517874602147,-0.061263194200532,0.00583206236006731,18.08
"J_XYL_F_0064_01",-0.137632310238779,0.243112886014294,-0.0110316030140025,54.3
"J_XYL_F_0064_02",-0.0769528333018104,0.111518061299828,-0.00932891047841951,27.62
"J_XYL_F_0065_01",-0.0960088852350141,-0.0354384606101395,0.0225943021650528,18.08
"J_XYL_F_0065_02",-0.0846963538216474,-0.0383904275693071,-0.0254426527570801,54.3
"J_XYL_F_0066_01",-0.0446398693894727,0.0432476494076333,-0.00144299202308728,27.62
"J_XYL_F_0066_02",-0.0642907744391471,-0.0272321300006103,-0.0274953748799009,18.08
"K_XYL_F_0001_01",-0.0674817844800464,0.0710634634817711,-0.0122364092964253,54.3
"K_XYL_F_0001_02",-0.235986161293235,-0.150974606972981,-0.0803286702116002,27.62
"K_XYL_F_0002_01",-0.14025811574271,0.278547964358879,-0.011997092720305,18.08
"K_XYL_F_0002_02",-0.146407134862611,-0.0270428598225542,-0.0433108574028832,54.3
"K_XYL_F_0003_01",-0.0245524418194136,-0.0039915317364873,-0.0055442520884773,27.62
"K_XYL_F_0003_02",-0.111943960736365,0.205331783027782,0.00508899029419111,18.08
"K_XYL_F_0004_01",-0.0786617657849256,0.0914297391633782,-0.0130127317567461,54.3
"K_XYL_F_0004_02",-0.157875082398751,0.173137591254757,-0.0274668861634921,27.62
"K_XYL_F_0005_01",-0.0332023754820881,-0.0011511815976408,-0.00894119116434232,18.08
"K_XYL_F_0005_02",-0.101298580998173,-0.113839245843905,-0.0363017798894409,54.3
"K_XYL_F_0007_01",-0.0798538732474829,0.0341870428492789,-0.017862338482447,27.62
"K_XYL_F_0007_02",-0.0847283460631745,0.00461502472033393,-0.0161147259507976,18.08
"K_XYL_F_0008_01",-0.0532284633577819,0.0128690182986885,-0.00679859166742892,54.3
"K_XYL_F_0008_02",-0.0596662271988586,0.0712976138962765,0.00462191008817536,27.62
"K_XYL_F_0009_01",-0.0412013963007242,-0.0224132043748704,0.000256200079105463,18.08
"K_XYL_F_0009_02",-0.0825414310083029,-0.0146298123057907,-0.00826156141773694,54.3
"K_XYL_F_0009_03",-0.0685958384462961,-0.0571432085584967,0.0734062114790416,27.62
"K_XYL_F_0011_01",-0.0595453087176613,-0.010796016464435,-0.0128101367287907,18.08
