SampleID,PC1,PC2,group,compound,lipus,depth_class
DHMR001,-13.972772446123766,2.3609203488822437,DMSO,DMSO,no,~20M
DHMR002,-0.912971175103905,-2.4770415664206804,DMSO,DMSO,no,~40M
DHMR003,-7.792266773111337,1.0959185577529869,DMSO,DMSO,no,~40M
DHMR004,-10.895470426811597,-0.14269258387877792,DMSO,DMSO,no,~40M
DHMR005,13.369487269061286,-6.923160241345443,DMSO+LIPUS,DMSO,yes,~40M
DHMR006,-13.111896226520319,0.616084226950933,DMSO+LIPUS,DMSO,yes,~20M
DHMR007,-12.777422888452014,-2.176074414803931,DMSO+LIPUS,DMSO,yes,~40M
DHMR008,-8.729155256214193,0.664307366658801,DMSO+LIPUS,DMSO,yes,~40M
DHMR009,-0.9427403983052396,-2.8715554757907364,T4400,T4400,no,~40M
DHMR010,12.127582679160687,2.6789119338492693,T4400,T4400,no,~40M
DHMR011,24.65574715815273,1.7384640853808087,T4400,T4400,no,~40M
DHMR012,13.168662006293895,-6.7266040692974665,T4400,T4400,no,~40M
DHMR013,-0.4028327573331788,-3.0309671196624532,T4400+LIPUS,T4400,yes,~40M
DHMR014,1.5586709842417625,-1.5556478203043278,T4400+LIPUS,T4400,yes,~40M
DHMR015,16.550248671514424,-3.990079192456896,T4400+LIPUS,T4400,yes,~40M
DHMR016,36.45702772494989,9.812386854566732,T4400+LIPUS,T4400,yes,~20M
DHMR017,-8.85177864839096,0.8795673824562625,T3976,T3976,no,~40M
DHMR018,-13.013302078826925,3.0705619103549386,T3976,T3976,no,~20M
DHMR019,-5.329669817093138,7.567774967197165,T3976,T3976,no,~20M
DHMR020,-4.864478847419305,3.3478187514890383,T3976,T3976,no,~40M
DHMR021,-12.974003953131376,1.4257076519741878,T3976+LIPUS,T3976,yes,~20M
DHMR022,-10.40222422417952,-0.7809957553866023,T3976+LIPUS,T3976,yes,~40M
DHMR023,16.990016353755713,-3.50581636289486,T3976+LIPUS,T3976,yes,~40M
DHMR024,-9.904456930113602,-1.0777894352711919,T3976+LIPUS,T3976,yes,~40M
