"feature","Estimate_group","pvalue","fdr","sign_group","method","vs","fold_change","log2FC"
"0610005C13Rik","Group",0.820821977556877,0.991433589305502,"T3976","DESeq2","DMSO vs T3976",0.868137277086549,-0.204004903239968
"0610007P14Rik","Group",0.952282848982915,0.997847092875734,"T3976","DESeq2","DMSO vs T3976",0.996815438443542,-0.00460168223024626
"0610009B22Rik","Group",0.649576221893662,0.976952709302797,"T3976","DESeq2","DMSO vs T3976",0.973707652973896,-0.038439413867651
"0610009L18Rik","Group",0.813286067958172,0.991433589305502,"DMSO","DESeq2","DMSO vs T3976",1.05605503951883,0.078685027093722
"0610009O20Rik","Group",0.609623212515272,0.975358805079049,"T3976","DESeq2","DMSO vs T3976",0.974722978811946,-0.036935838980117
"0610010F05Rik","Group",0.82180186428065,0.991433589305502,"T3976","DESeq2","DMSO vs T3976",0.970579922625251,-0.0430810780044692
"0610010K14Rik","Group",0.785748598470784,0.989832578089403,"DMSO","DESeq2","DMSO vs T3976",1.01461993108281,0.02093940600343
"0610011F06Rik","Group",0.38796163769791,0.948091658820558,"DMSO","DESeq2","DMSO vs T3976",1.06286635913227,0.0879602091570755
"0610012G03Rik","Group",0.216260534461792,0.918302458804489,"T3976","DESeq2","DMSO vs T3976",0.916142826995216,-0.126355562356865
"0610030E20Rik","Group",0.0931219496797485,0.833832658625936,"DMSO","DESeq2","DMSO vs T3976",1.13322548927936,0.180434957272838
"0610037L13Rik","Group",0.544454650961625,0.968490966624377,"DMSO","DESeq2","DMSO vs T3976",1.04071185390187,0.0575706791169238
"0610038B21Rik","Group",0.347011054502656,0.943143160160004,"DMSO","DESeq2","DMSO vs T3976",1.37847004062472,0.46306791246103
"0610040B10Rik","Group",0.621837365432686,0.975365577302846,"DMSO","DESeq2","DMSO vs T3976",1.11907890267718,0.162311759717345
"0610040J01Rik","Group",0.757783885264817,0.987933351677229,"T3976","DESeq2","DMSO vs T3976",0.657367773249819,-0.605227363312912
"1110001J03Rik","Group",0.542359356532311,0.968490966624377,"T3976","DESeq2","DMSO vs T3976",0.939915906827994,-0.0893964085537675
"1110002L01Rik","Group",0.610368003662327,0.975358805079049,"DMSO","DESeq2","DMSO vs T3976",1.07968244121189,0.110607045854588
"1110004E09Rik","Group",0.876830624123599,0.991666562311191,"DMSO","DESeq2","DMSO vs T3976",1.01326907799357,0.0190173389353159
"1110004F10Rik","Group",0.574194115550872,0.973865511124348,"T3976","DESeq2","DMSO vs T3976",0.968182066042304,-0.0466497239600867
"1110006O24Rik","Group",0.167396663458562,0.894144109340808,"DMSO","DESeq2","DMSO vs T3976",1.60063606575077,0.678645321707057
"1110007C09Rik","Group",0.141988288019171,0.874817764996264,"T3976","DESeq2","DMSO vs T3976",0.923429730420496,-0.114925913247604
"1110008F13Rik","Group",0.341373125800166,0.941081984852971,"DMSO","DESeq2","DMSO vs T3976",1.08464424776891,0.117221931020504
"1110008L16Rik","Group",0.572128386315114,0.973171360297703,"T3976","DESeq2","DMSO vs T3976",0.971593901854271,-0.0415746598664564
"1110008P14Rik","Group",0.69811666279266,0.979712220991605,"T3976","DESeq2","DMSO vs T3976",0.976438454670828,-0.0343989815888122
"1110012L19Rik","Group",0.0680278022164116,0.811387307893908,"DMSO","DESeq2","DMSO vs T3976",1.19266398554129,0.254187643473616
"1110019D14Rik","Group",0.838841528425239,0.991433589305502,"DMSO","DESeq2","DMSO vs T3976",1.02701649832789,0.0384593577657923
"1110020A21Rik","Group",0.659369843781552,0.977726074254972,"DMSO","DESeq2","DMSO vs T3976",1.16086524645459,0.215200513499993
"1110032A03Rik","Group",0.724396376372602,0.98459165890715,"DMSO","DESeq2","DMSO vs T3976",1.02715738576758,0.0386572549471876
"1110034G24Rik","Group",0.390030692134041,0.94864462668315,"DMSO","DESeq2","DMSO vs T3976",1.08134606257575,0.112828301855126
"1110037F02Rik","Group",0.425632890754995,0.95656523522219,"DMSO","DESeq2","DMSO vs T3976",1.04300711583207,0.0607490005620178
"1110038B12Rik","Group",0.525411804255623,0.966902183720159,"T3976","DESeq2","DMSO vs T3976",0.968930542901688,-0.045534844110557
"1110038F14Rik","Group",0.14920631724296,0.882406284151864,"T3976","DESeq2","DMSO vs T3976",0.936773849979552,-0.0942272912849778
"1110046J04Rik","Group",0.0622138287974285,0.809020611141588,"T3976","DESeq2","DMSO vs T3976",0.847455037641717,-0.238791267867966
"1110051M20Rik","Group",0.565752820098961,0.970330025834391,"T3976","DESeq2","DMSO vs T3976",0.977794226240906,-0.0323972084595009
"1110059E24Rik","Group",0.856040253762488,0.991433589305502,"T3976","DESeq2","DMSO vs T3976",0.990866646112824,-0.0132371867564085
"1110059G10Rik","Group",0.630298300851161,0.975365577302846,"DMSO","DESeq2","DMSO vs T3976",1.03805676212173,0.0538853340547127
"1110065P20Rik","Group",0.17622130823818,0.895020997554689,"DMSO","DESeq2","DMSO vs T3976",1.18962934462866,0.250512139950926
"1190002F15Rik","Group",0.0881662766311222,0.831817017776615,"T3976","DESeq2","DMSO vs T3976",0.811796911966342,-0.300809242778977
"1190002N15Rik","Group",0.202680666668391,0.915866475903151,"DMSO","DESeq2","DMSO vs T3976",1.1150243992736,0.157075279944579
"1190005I06Rik","Group",0.839249954658015,0.991433589305502,"DMSO","DESeq2","DMSO vs T3976",1.11490902247,0.156925989799048
"1190007I07Rik","Group",0.433124452117596,0.958451068170202,"T3976","DESeq2","DMSO vs T3976",0.897679808850475,-0.15572714942823
"1200014J11Rik","Group",0.551119233088496,0.968490966624377,"DMSO","DESeq2","DMSO vs T3976",1.0268541202819,0.0382312401813046
"1300002E11Rik","Group",0.0680050678338861,0.811387307893908,"DMSO","DESeq2","DMSO vs T3976",1.15824291977176,0.211937863341274
"1500004A13Rik","Group",0.0190267822716566,0.658335345055949,"DMSO","DESeq2","DMSO vs T3976",1.33644152754981,0.418396717671291
"1500009L16Rik","Group",0.409666994608661,0.951530189916905,"DMSO","DESeq2","DMSO vs T3976",1.20345228747161,0.267178945308375
"1500011B03Rik","Group",0.724412102610073,0.98459165890715,"DMSO","DESeq2","DMSO vs T3976",1.04339430031182,0.0612844575751534
"1500011K16Rik","Group",0.497284236301214,0.965033439955982,"DMSO","DESeq2","DMSO vs T3976",1.06427826696599,0.0898754082498429
"1500012F01Rik","Group",0.372035013207479,0.946209200724509,"T3976","DESeq2","DMSO vs T3976",0.954793430993819,-0.066739454216775
"1500015A07Rik","Group",0.161679103130686,0.894144109340808,"DMSO","DESeq2","DMSO vs T3976",1.53665842617756,0.619796513353426
"1500015O10Rik","Group",0.394470938283303,0.949775477088357,"T3976","DESeq2","DMSO vs T3976",0.853703513793657,-0.228192977555221
"1500017E21Rik","Group",0.134054950633565,0.858128844964101,"T3976","DESeq2","DMSO vs T3976",0.75453140856697,-0.406347138415478
"1600002H07Rik","Group",0.448045419252544,0.958451068170202,"DMSO","DESeq2","DMSO vs T3976",1.05315140913564,0.0747128641948483
"1600002K03Rik","Group",0.24615379110565,0.919120594663115,"T3976","DESeq2","DMSO vs T3976",0.899463214723546,-0.152863813989928
"1600012H06Rik","Group",0.00560531333374987,0.44999257411144,"DMSO","DESeq2","DMSO vs T3976",1.12610722497085,0.171344203589319
"1600014C10Rik","Group",0.927974372704642,0.996282916920626,"DMSO","DESeq2","DMSO vs T3976",1.00679656695252,0.00977220221440661
"1600020E01Rik","Group",0.163407124495719,0.894144109340808,"DMSO","DESeq2","DMSO vs T3976",1.15835192840784,0.21207363694789
"1600027J07Rik","Group",0.758505686741042,0.987933351677229,"T3976","DESeq2","DMSO vs T3976",0.890776372402788,-0.166864803341589
"1700001G11Rik","Group",0.130971468533837,0.858027478546523,"DMSO","DESeq2","DMSO vs T3976",2.18941952592268,1.13054842321558
"1700001G17Rik","Group",0.0568158224730813,0.799799751219285,"T3976","DESeq2","DMSO vs T3976",0.324343835940708,-1.62440407380587
"1700001K19Rik","Group",0.112965830274742,0.85228910160007,"DMSO","DESeq2","DMSO vs T3976",1.74666902503424,0.804606258982165
"1700001L05Rik","Group",0.469544319505705,0.961396242335016,"T3976","DESeq2","DMSO vs T3976",0.836558927991744,-0.257460926258981
"1700001L19Rik","Group",0.0643840670087894,0.809963791608157,"T3976","DESeq2","DMSO vs T3976",0.360273847389549,-1.47283416588371
"1700001O22Rik","Group",0.428543322940677,0.958285997496637,"DMSO","DESeq2","DMSO vs T3976",1.30017841519581,0.378709608682044
"1700003E16Rik","Group",0.848771676172804,0.991433589305502,"T3976","DESeq2","DMSO vs T3976",0.977747509851662,-0.0324661382111496
"1700003F12Rik","Group",0.713212980860773,0.983068638354514,"T3976","DESeq2","DMSO vs T3976",0.930791766566895,-0.103469645624167
"1700007J10Rik","Group",0.0709073277850384,0.811387307893908,"DMSO","DESeq2","DMSO vs T3976",1.54930350659312,0.631619793943577
"1700007K13Rik","Group",0.585642776830434,0.974834825142219,"DMSO","DESeq2","DMSO vs T3976",1.19387344668297,0.255649915732215
"1700007L15Rik","Group",0.952260961193748,0.997847092875734,"DMSO","DESeq2","DMSO vs T3976",1.00989410764191,0.0142040272454215
"1700008J07Rik","Group",0.322684161581685,0.938859843385499,"T3976","DESeq2","DMSO vs T3976",0.764106484079591,-0.388154392033775
"1700009N14Rik","Group",0.175311289720421,0.894144109340808,"T3976","DESeq2","DMSO vs T3976",0.433533791259709,-1.20578364796191
"1700011I03Rik","Group",0.17836852444113,0.897622853014819,"T3976","DESeq2","DMSO vs T3976",0.403249172397278,-1.31025652239812
"1700012B09Rik","Group",0.467247902003153,0.961396242335016,"DMSO","DESeq2","DMSO vs T3976",1.15402602903858,0.20667576431388
"1700012D01Rik","Group",0.188990522015075,0.906369151948318,"DMSO","DESeq2","DMSO vs T3976",1.33826229418107,0.420360906284583
"1700012D14Rik","Group",0.152633386571278,0.886214294065285,"DMSO","DESeq2","DMSO vs T3976",1.92384967686837,0.943996076182241
"1700013G24Rik","Group",0.0375228886137982,0.752924472726938,"T3976","DESeq2","DMSO vs T3976",0.396185016011491,-1.3357537773422
"1700017B05Rik","Group",0.918273603538979,0.995787091078345,"DMSO","DESeq2","DMSO vs T3976",1.00400185751084,0.00576193843131781
"1700018A04Rik","Group",0.208062205811673,0.918092219382878,"DMSO","DESeq2","DMSO vs T3976",1.55462366055082,0.636565378575246
"1700019G17Rik","Group",0.628776866433528,0.975365577302846,"T3976","DESeq2","DMSO vs T3976",0.867610382764673,-0.204880776923883
"1700019L03Rik","Group",0.732485340898493,0.986221510362425,"T3976","DESeq2","DMSO vs T3976",0.958011387959488,-0.0618852893903839
"1700020I14Rik","Group",0.59539739846003,0.975358805079049,"T3976","DESeq2","DMSO vs T3976",0.955901894124075,-0.0650655353879476
"1700020L24Rik","Group",0.216469187483025,0.918302458804489,"T3976","DESeq2","DMSO vs T3976",0.888958300214148,-0.169812349044066
"1700021F05Rik","Group",0.336440754808069,0.939298480453314,"T3976","DESeq2","DMSO vs T3976",0.944589928390288,-0.0822399419299545
"1700021K19Rik","Group",0.622164652483152,0.975365577302846,"T3976","DESeq2","DMSO vs T3976",0.982844306617018,-0.0249651990352173
"1700024P16Rik","Group",0.767268179906117,0.987933351677229,"DMSO","DESeq2","DMSO vs T3976",1.06846763181529,0.0955432036206634
