"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","13/119","97/11213",0.134020618556701,12.6283461838344,11.9124336601362,2.45206401474857e-11,5.24741699156193e-09,1.06641839715312e-09,"Cxcl1/Ccl2/Ccl11/Il6/Cxcl5/S100a8/Cxcl10/Mmp13/Mmp3/Ccl7/Ptgs2/Lcn2/Mmp9",13
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","11/119","95/11213",0.115789473684211,10.9104820875719,10.0464862265259,4.44415520442644e-09,4.75524606873629e-07,9.66395828432339e-08,"Cxcl1/Ccl3/Ccl2/Ccl5/Ccl11/Ccl8/Il6/Cxcl5/Cxcl10/Ppbp/Ccl7",11
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","17/119","294/11213",0.0578231292517007,5.44849368318756,8.00508881851941,1.20723735145374e-08,8.61162644037002e-07,1.7501176064697e-07,"Cxcl1/Csf2rb/Ccl3/Ccl2/Ccl5/Ccl11/Ccl8/Il6/Tnfrsf9/Cxcl5/Cxcl10/Cd40/Ppbp/Il1a/Ccl7/Il13ra2/Gdf5",17
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway","11/119","118/11213",0.0932203389830508,8.78386269762142,8.80325863715107,4.43876831583213e-08,2.37474104897019e-06,4.8261221609962e-07,"Cxcl1/Ccl2/Traf1/Ccl5/Il6/Map3k8/Cxcl5/Cxcl10/Mmp3/Ptgs2/Mmp9",11
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","9/119","87/11213",0.103448275862069,9.74760938858302,8.48301871251209,3.2265274453475e-07,1.38095374660873e-05,2.80647503975613e-06,"Cxcl1/Ccl3/Ccl2/Ccl5/Il6/Cxcl5/Il1a/Mmp3/Itgb2",9
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","11/119","217/11213",0.0506912442396313,4.77647833326879,5.81795614378068,1.87085080184571e-05,0.000667270119324968,0.000135607505990656,"Cxcl1/Ccl3/Ccl2/Cd14/Ccl5/Il6/Vldlr/Ddit3/Cd40/Mmp3/Mmp9",11
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","10/119","194/11213",0.0515463917525773,4.85705622455168,5.61250431043128,3.95453618668087e-05,0.00120895820564244,0.000245693314245751,"Cxcl1/Ccl3/Ccl2/Ccl5/Ccl11/Ccl8/Cxcl5/Cxcl10/Ppbp/Ccl7",10
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","7/119","95/11213",0.0736842105263158,6.94303405572755,6.02459186718228,6.48915592696868e-05,0.00169810770632544,0.000345101847496573,"Thbd/F7/Serpinb2/F13a1/Kng1/Itgb2/Kng2",7
"Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction","14/119","394/11213",0.0355329949238579,3.34816363093461,4.91421159466084,7.14157446585465e-05,0.00169810770632544,0.000345101847496573,"Htr1d/Gipr/Adora2b/Mchr1/Try5/Adm/Avpr1a/Apln/Npy1r/Cck/Adm2/Kng1/P2rx3/Kng2",14
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","7/119","103/11213",0.0679611650485437,6.40376927470017,5.70596791127188,0.000108510401806146,0.00224370889002168,0.000455982903974039,"Ccl3/Ccl2/Ccl5/Nos2/Il6/Kng1/Kng2",7
"Organismal Systems","Immune system","mmu04620","Toll-like receptor signaling pathway","7/119","104/11213",0.0673076923076923,6.34219457013575,5.66852194525956,0.000115330830795507,0.00224370889002168,0.000455982903974039,"Ccl3/Cd14/Ccl5/Il6/Map3k8/Cxcl10/Cd40",7
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis","7/119","107/11213",0.0654205607476635,6.16437603078615,5.55906632381389,0.000137912126765548,0.00245943292731894,0.000499823918029502,"Cxcl1/Cd14/Nos2/Il6/Serpinb9e/Serpinb9b/Itgb2",7
"Human Diseases","Infectious disease: bacterial","mmu05133","Pertussis","6/119","77/11213",0.0779220779220779,7.34235512386773,5.78365330173558,0.000161528817713942,0.00265901284544489,0.000540384006304185,"Cd14/Nos2/Il6/Cxcl5/Il1a/Itgb2",6
"Human Diseases","Cardiovascular disease","mmu05418","Fluid shear stress and atherosclerosis","8/119","149/11213",0.0536912751677852,5.05916191980148,5.1658806803564,0.000182041166910388,0.00278262926563022,0.000565506237849311,"Ccl2/Thbd/Gsta4/Mgst1/Hmox1/Il1a/Mmp9/Gsta1",8
