"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006953","acute-phase response","11/218","52/25615",0.211538461538462,24.8557692307692,15.9538287761183,5.85869914209235e-13,1.89294569281004e-09,4.1899614859373e-11,"Saa3/Ccl5/Il6/Hp/Saa2/Il1a/Ptgs2/Ptges/Lcn2/Orm1/Serpina3n",11
"GO:0050878","regulation of body fluid levels","22/218","385/25615",0.0571428571428571,6.71428571428572,10.46669166768,2.43766769134222e-12,3.93805215536336e-09,8.71672490302166e-11,"Thbd/Adm/Il6/Prl2c2/F7/F13a1/Prl2c5/Hk2/Xdh/Apln/Comp/Slc22a4/Gla/Mmp13/Angptl7/Tpsab1/Plek/Cck/Adm2/Kng1/Kcnma1/Kng2",22
"GO:0002526","acute inflammatory response","13/218","123/25615",0.105691056910569,12.4186991869919,11.7609654140339,4.62560823765978e-11,4.98178007195959e-08,1.10269759519273e-09,"Aoc3/Saa3/Ccl5/Il6/Hp/Saa2/Il1a/Npy1r/Ptgs2/Ptges/Lcn2/Orm1/Serpina3n",13
"GO:1901342","regulation of vasculature development","19/218","330/25615",0.0575757575757576,6.76515151515152,9.76589288318522,7.1582684427173e-11,5.7820913346049e-08,1.2798433728018e-09,"Ccl2/Camp/Klf4/Ccl5/Adm/Ccl11/Prl2c2/Dcn/Ptn/Cxcl10/Hk2/Hmox1/Angptl7/Cd40/Il1a/Adm2/Itgb2/Mmp9/Smoc2",19
"GO:0019730","antimicrobial humoral response","15/218","203/25615",0.0738916256157636,8.68226600985222,10.1810759372959,2.47417421122131e-10,1.3535054078214e-07,2.99593144764806e-09,"Ccl3/Ccl2/Camp/Wfdc21/Ccl5/Adm/Ccl11/Ccl8/Cxcl5/Cxcl10/Ppbp/Ccl7/Kng1/Slpi/Kng2",15
"GO:0032496","response to lipopolysaccharide","21/218","443/25615",0.0474040632054176,5.56997742663657,8.98944327672301,2.51347336642786e-10,1.3535054078214e-07,2.99593144764806e-09,"Ccl2/Cd14/Camp/Wfdc21/Adm/Nos2/Il6/Trem2/Cxcl5/Mgst1/Mmp8/Prdm1/S100a8/Cxcl10/Slc22a4/Ppbp/Il1a/Havcr2/Ptgs2/Lcn2/Slpi",21
"GO:0045765","regulation of angiogenesis","18/218","323/25615",0.0557275541795666,6.54798761609907,9.29653047942886,3.90874208483217e-10,1.71665502799681e-07,3.79974897286663e-09,"Ccl2/Camp/Klf4/Ccl5/Adm/Ccl11/Prl2c2/Dcn/Ptn/Cxcl10/Hk2/Hmox1/Cd40/Il1a/Adm2/Itgb2/Mmp9/Smoc2",18
"GO:0050900","leukocyte migration","20/218","412/25615",0.0485436893203883,5.70388349514563,8.91773956292612,4.53818520035622e-10,1.71665502799681e-07,3.79974897286663e-09,"Cxcl1/Ccl3/Ccl2/Dbh/Aoc3/Ccl5/Ccl11/Ccl8/Trem2/F7/Cxcl5/Ptn/S100a8/Cxcl10/Itgb7/Ppbp/Il1a/Ccl7/Itgb2/Mmp9",20
"GO:0002237","response to molecule of bacterial origin","21/218","459/25615",0.0457516339869281,5.37581699346405,8.76436468371197,4.78176888021397e-10,1.71665502799681e-07,3.79974897286663e-09,"Ccl2/Cd14/Camp/Wfdc21/Adm/Nos2/Il6/Trem2/Cxcl5/Mgst1/Mmp8/Prdm1/S100a8/Cxcl10/Slc22a4/Ppbp/Il1a/Havcr2/Ptgs2/Lcn2/Slpi",21
"GO:0060326","cell chemotaxis","18/218","330/25615",0.0545454545454545,6.40909090909091,9.16274312561662,5.51425012474183e-10,1.78165421530408e-07,3.94362213968232e-09,"Cxcl1/Ccl3/Ccl2/Saa3/Ccl5/Ccl11/Ccl8/F7/Cxcl5/Ptn/S100a8/Cxcl10/Enpp2/Ppbp/Ccl7/Itgb2/Mmp9/Smoc2",18
