sample_id,PC1,PC2,condition,batch
CA1,-7.459551926299036,-2.9182479381805395,control,A
CA2,-7.444902714260448,-5.381336121855984,control,A
TA1,6.322161655490945,0.4363577066053222,treated,A
TA2,6.442695405818152,-1.954661406547779,treated,A
CB1,-6.36137075138628,-0.25664882392776756,control,B
CB2,-6.504732876907752,-3.809067359138329,control,B
TB1,7.76023533658737,-6.209198800349704,treated,B
TB2,6.213483956670693,3.248910755023278,treated,B
CC1,-6.02973890554087,5.600568321688042,control,C
CC2,-7.197811735937375,6.92125196350519,control,C
TC1,6.792355554700697,-1.3404466607958854,treated,C
TC2,7.467177001063917,5.662518363974164,treated,C
