gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,significant,direction
Gene0035,103.87972381323515,1.7368430142550422,0.24510464311656538,7.402580062751633,1.3356361467506067e-13,1.32094414913635e-10,True,Up in treated
Gene0043,2367.9068920268205,1.6415306986021876,0.24897332980677056,7.025521492446563,2.1326817863302826e-12,1.0546111433403247e-09,True,Up in treated
Gene0008,198.88928359971234,1.9329503119883522,0.2983584914162328,6.963987452103107,3.307740830219401e-12,1.0904518936956625e-09,True,Up in treated
Gene0014,104.20548214688547,1.734264788979629,0.2781624743998488,6.686420000568622,2.2869607119783818e-11,4.789857490169554e-09,True,Up in treated
Gene0054,93.95710700112691,1.6211412419413347,0.256896751573075,6.678041426098416,2.421565970763172e-11,4.789857490169554e-09,True,Up in treated
Gene0012,43.7387801409843,1.8992351835703831,0.31199549867449855,6.490866620053269,8.534401220869695e-11,1.4067538012400214e-08,True,Up in treated
Gene0042,191.32364013970928,1.5611219238750684,0.2602632167677101,6.452834614611591,1.0977714197818794e-10,1.550994191663255e-08,True,Up in treated
Gene0003,132.37272940940264,1.498659932207867,0.25635263195487057,6.27117507793782,3.583334172105683e-10,4.42989687026565e-08,True,Up in treated
Gene0098,160.19986319100948,-1.6206993048944458,0.2817460132795616,-6.230727681220323,4.6427353667192167e-10,4.591665277685305e-08,True,Down in treated
Gene0100,37.282193336102715,-1.8997114798034223,0.32631558311888,-6.24327345117141,4.285067917863889e-10,4.591665277685305e-08,True,Down in treated
Gene0004,210.27819136639638,1.4942829717017319,0.26456176328509823,6.094825591168732,1.095568313192156e-09,9.850155106791293e-08,True,Up in treated
Gene0040,102.61512911222128,1.5844530419042726,0.2867372339243042,5.946113109955728,2.74584443433199e-09,2.2630334546286154e-07,True,Up in treated
Gene0006,152.37819785074302,1.6835051838782957,0.30950381308943314,5.901374140995735,3.604863703807595e-09,2.742469386973624e-07,True,Up in treated
Gene0049,233.56374744889771,1.5726282360650787,0.2947705291868304,5.838560706547281,5.265369773758242e-09,3.719607647319215e-07,True,Up in treated
Gene0062,153.99995060630238,-1.3925279621368445,0.2752870296857259,-5.592836817355541,2.2338922758744917e-08,1.472879640559915e-06,True,Down in treated
Gene0038,113.54095742466818,1.3509991954162377,0.2666518944512459,5.498901407805952,3.821647270642165e-08,2.362255719165688e-06,True,Up in treated
Gene0085,166.00787583624984,-1.2993384388672924,0.27412657840631793,-5.312681768839663,1.0802358719191233e-07,6.284431043105959e-06,True,Down in treated
Gene0021,48.45524157209213,1.3448528681965186,0.2833818558911831,5.234425484146626,1.654988201565021e-07,9.093240729710032e-06,True,Up in treated
Gene0086,36.8156256178688,-1.526513183544246,0.329520081281702,-5.140979790919097,2.7330945290693144e-07,1.329123865212688e-05,True,Down in treated
Gene0017,111.1340996429555,1.4539325870688142,0.31220941236416777,5.146392685989593,2.6554325816725983e-07,1.329123865212688e-05,True,Up in treated
Gene0057,39.52943553136701,1.6181028265685928,0.35503996623168205,5.134949072267079,2.822204364961218e-07,1.329123865212688e-05,True,Up in treated
Gene0026,122.0000456046932,1.338380145988506,0.29035610728046485,5.122696663759421,3.0119668288894213e-07,1.3540159971689262e-05,True,Up in treated
Gene0034,197.6111257651091,1.5813677032403424,0.350269528895179,5.099934602418515,3.39770856114129e-07,1.403613323375483e-05,True,Up in treated
Gene0059,116.83340539439864,1.2798999834863787,0.2810897078033588,5.0994654956215,3.4061395107190687e-07,1.403613323375483e-05,True,Up in treated
Gene0058,197.96026589490134,1.5081777267237635,0.3291899625841888,5.077928791009962,3.815716431641255e-07,1.4898199013077172e-05,True,Up in treated
Gene0015,223.30673582400001,1.5335779720728626,0.33692479589316365,5.072966509900815,3.9166145029323203e-07,1.4898199013077172e-05,True,Up in treated
Gene0070,200.84153727579044,-1.24351856210288,0.27552374378891303,-5.035815916791095,4.758176666835814e-07,1.7429024901854147e-05,True,Down in treated
Gene0097,98.0580672289949,-1.3629521761895205,0.311775713113326,-4.962128407154108,6.972487315439518e-07,2.4627821267748865e-05,True,Down in treated
Gene0039,29.334173303036874,1.6026054816742417,0.35877925100718033,4.947660318247979,7.511083492956169e-07,2.5615384739771215e-05,True,Up in treated
Gene0073,66.40593150704869,-1.23197138396909,0.28160683743962434,-4.8991120540564115,9.6270731956129e-07,3.1737251301537195e-05,True,Down in treated
Gene0093,71.86172158919491,-1.157148908889365,0.2738738130072585,-4.749431618399617,2.039891568481583e-06,6.50791213299447e-05,True,Down in treated
Gene0005,71.61698087789382,1.6195732593484577,0.39253919530535814,4.6873227234911505,2.7680229202092397e-06,8.554920837771682e-05,True,Up in treated
Gene0090,131.59140240984297,-1.4261978843053642,0.3571416278231304,-4.627034516113923,3.7093871345659054e-06,0.00011116920836623273,True,Down in treated
Gene0074,67.11646083142732,-1.2523233736726642,0.308716337776581,-4.6049833150087975,4.124989322222667e-06,0.0001199886599905358,True,Down in treated
Gene0075,473.1206647033593,-1.1898796471973188,0.2941780444297235,-4.593293627632638,4.363044773438314e-06,0.00012328717945515693,True,Down in treated
Gene0078,52.65391801675367,-1.2566670803232294,0.3231769052285523,-4.5323402240647495,5.83337957921223e-06,0.00016025590010669154,True,Down in treated
Gene0010,232.11380281746085,1.4279972041823676,0.3626559618220323,4.500213282237131,6.788531424245541e-06,0.00018145561023186056,True,Up in treated
Gene0002,265.12914922708325,1.3723224879691884,0.35903456797124855,4.394725405593954,1.1091286477025088e-05,0.00028866532436257403,True,Up in treated
Gene0053,68.60634489824785,1.3110218290821598,0.35003114891687015,4.345539228757686,1.3893393856563038e-05,0.0003523222185677139,True,Up in treated
Gene0079,16.771309474501756,-1.4627617456117938,0.39318507602512215,-4.327478421767849,1.5082611613701373e-05,0.0003638220216085526,True,Down in treated
Gene0051,264.49766759005576,1.1030721097113234,0.29183323802784417,4.332173872791743,1.4764426781082235e-05,0.0003638220216085526,True,Up in treated
Gene0099,62.18398084545302,-1.048379057504574,0.28329567448282583,-4.311327138775506,1.6227761047594108e-05,0.00038212513514453747,True,Down in treated
