"primary","shannon","simpson","invsimpson","observerd_index","chao1","ACE","pielou","observed"
"J_XYL_F_0001_01",0.923123576744246,0.479966252755897,1.92295212627922,8,8,NA,0.443928602098869,NA
"J_XYL_F_0001_02",1.00198520212407,0.49855569047548,1.99423940207482,19,19,19,0.340297492735858,NA
"J_XYL_F_0002_01",1.84017821484925,0.735603908879875,3.78220417617922,17,17,17,0.649502169933566,NA
"J_XYL_F_0002_02",1.87139985941065,0.74044428335344,3.8527373348579,22,22,22,0.605426773539597,NA
"J_XYL_F_0003_01",1.97269511252485,0.79126719680049,4.79081382835732,12,12,NA,0.793870913699374,NA
"J_XYL_F_0003_02",1.36147714232776,0.62177654550712,2.64393968200834,17,17,17,0.480541694886479,NA
"J_XYL_F_0004_01",1.73296311668712,0.706107308090027,3.40260247201494,17,17,NA,0.61165994446648,NA
"J_XYL_F_0004_02",1.41942937551104,0.629337632160388,2.69787301534939,21,21,21,0.466223982429387,NA
"J_XYL_F_0005_01",1.48534310782976,0.648056570787942,2.84136573380225,17,17,17,0.524260945948831,NA
"J_XYL_F_0005_02",1.84306758147253,0.745344250579601,3.92686991075606,20,20,20,0.615231073131247,NA
"J_XYL_F_0006_01",0.994721097092283,0.519307578300549,2.08033235985826,7,7,NA,0.511185522915944,NA
"J_XYL_F_0006_02",1.21160646068186,0.641631884285447,2.79042681575087,6,6,NA,0.676210440904693,NA
"J_XYL_F_0010_01",1.65128983771191,0.684590624744048,3.17048280251184,21,21,22.08,0.542380577410583,NA
"J_XYL_F_0010_02",1.43623189694366,0.553579975031937,2.24004288354121,22,22,22,0.464643212966307,NA
"J_XYL_F_0012_01",1.4460134208884,0.610624121394235,2.56821250350867,16,16,NA,0.521539097843645,NA
"J_XYL_F_0012_02",1.30627231879593,0.514937803194439,2.06159128991216,21,21,NA,0.429056558299736,NA
"J_XYL_F_0013_01",1.52859349566783,0.646757111111111,2.83091332183773,21,21,21,0.502079891653172,NA
"J_XYL_F_0013_02",0.828363007076233,0.40662023973029,1.68526139069096,13,13,NA,0.322954917088906,NA
"J_XYL_F_0015_01",1.64055589353679,0.74046350242391,3.8530226358889,13,13,NA,0.639605569117514,NA
"J_XYL_F_0015_02",1.71907994275744,0.731274388254504,3.72126792643448,16,16,NA,0.62002702707696,NA
"J_XYL_F_0016_01",2.05814145618596,0.786874100677293,4.69206231236045,21,21,NA,0.676014546874207,NA
"J_XYL_F_0016_02",1.58085112766934,0.705367137324769,3.39405452236428,16,16,16,0.570171520568071,NA
"J_XYL_F_0018_01",1.74871744028509,0.688514587698476,3.21042321889533,23,23,NA,0.557716685108565,NA
"J_XYL_F_0018_02",1.64143673583826,0.743912367566893,3.90491329276204,10,10,NA,0.71286691676784,NA
"J_XYL_F_0020_01",1.68308092944776,0.67351969127054,3.06297186464821,19,19,19,0.571613452123308,NA
"J_XYL_F_0020_02",1.6647862730074,0.716474420452887,3.52701862596433,16,16,NA,0.60044472505195,NA
"J_XYL_F_0025_01",1.79842635033132,0.754838909537627,4.07895069366026,15,15,NA,0.664103770897355,NA
"J_XYL_F_0025_02",1.99318304833464,0.762366532935619,4.20816146965139,25,25,25,0.619217129451166,NA
"J_XYL_F_0031_01",1.43918461145034,0.554986657636001,2.24712363608651,21,21,NA,0.472712762309777,NA
"J_XYL_F_0031_02",1.20852507393217,0.534730984679451,2.14929420845066,14,14,NA,0.457938166166462,NA
"J_XYL_F_0032_01",2.30640047945215,0.859644169275741,7.1247485397638,26,26,26.52448,0.707898140075599,NA
"J_XYL_F_0032_02",2.07708583931705,0.774795251291097,4.44040370255509,22,22,NA,0.671969366535346,NA
"J_XYL_F_0034_01",1.79661688093812,0.729194124567476,3.6926820675616,19,19,NA,0.610172903446191,NA
"J_XYL_F_0034_02",1.27542141129354,0.564296434670958,2.295138437173,18,18,18,0.441265525034706,NA
"J_XYL_F_0036_01",1.80301888685274,0.769054934741001,4.33003406623356,18,18,NA,0.623801724441537,NA
"J_XYL_F_0036_02",1.64583280867172,0.747354136334987,3.95810952727852,12,12,NA,0.662331846072422,NA
