"sample","Axis1","Axis2","group","method"
"J_XYL_F_0001_01",-0.33051113556108,0.00869956573336453,"IBS_before","PCoA"
"J_XYL_F_0001_02",-0.215061457619446,0.230494445919139,"IBS_after","PCoA"
"J_XYL_F_0002_01",0.103292871713936,-0.032396340517527,"IBS_before","PCoA"
"J_XYL_F_0002_02",0.166341884319558,0.0374609480798534,"IBS_after","PCoA"
"J_XYL_F_0003_01",0.1115023822815,-0.122456654123783,"IBS_before","PCoA"
"J_XYL_F_0003_02",0.0574845942430588,-0.252625967313749,"IBS_after","PCoA"
"J_XYL_F_0004_01",0.185119702520937,0.0481438964155631,"IBS_before","PCoA"
"J_XYL_F_0004_02",0.158695440284632,0.0485106668762805,"IBS_after","PCoA"
"J_XYL_F_0005_01",0.0545375178931411,-0.155059012340834,"IBS_before","PCoA"
"J_XYL_F_0005_02",-0.0442779859341421,0.0337256213590302,"IBS_after","PCoA"
"J_XYL_F_0006_01",0.107752382581149,0.056619319136759,"IBS_before","PCoA"
"J_XYL_F_0006_02",-0.0802648021083957,-0.209261460156481,"IBS_after","PCoA"
"J_XYL_F_0010_01",0.02081094544101,0.113706702994724,"IBS_before","PCoA"
"J_XYL_F_0010_02",0.225595095824649,0.139165038501793,"IBS_after","PCoA"
"J_XYL_F_0012_01",-0.0466999592838803,-0.347248709340164,"IBS_before","PCoA"
"J_XYL_F_0012_02",-0.0123182510467124,-0.463053755681275,"IBS_after","PCoA"
"J_XYL_F_0013_01",0.127739292245215,0.0462687148933489,"IBS_before","PCoA"
"J_XYL_F_0013_02",0.17270098671251,0.206218991607587,"IBS_after","PCoA"
"J_XYL_F_0015_01",-0.183580831935752,-0.0676149933941478,"IBS_before","PCoA"
"J_XYL_F_0015_02",-0.0563998093518099,-0.270339184705026,"IBS_after","PCoA"
"J_XYL_F_0016_01",-0.189921418350924,-0.0722111344327279,"IBS_before","PCoA"
"J_XYL_F_0016_02",-0.0604000873443571,-0.0885384186585962,"IBS_after","PCoA"
"J_XYL_F_0018_01",0.138311918822254,0.093329954186605,"IBS_before","PCoA"
"J_XYL_F_0018_02",-0.0509381787317932,-0.254474528313128,"IBS_after","PCoA"
"J_XYL_F_0020_01",0.209528802211769,0.089752021009123,"IBS_before","PCoA"
"J_XYL_F_0020_02",-0.151526181254837,-0.108076200162573,"IBS_after","PCoA"
"J_XYL_F_0025_01",-0.162600720222738,-0.0328767692967766,"IBS_before","PCoA"
"J_XYL_F_0025_02",-0.0859266717216914,0.0733840660547301,"IBS_after","PCoA"
"J_XYL_F_0031_01",0.208647614277366,0.149876883365188,"IBS_before","PCoA"
"J_XYL_F_0031_02",0.151980609709547,0.107499508766836,"IBS_after","PCoA"
"J_XYL_F_0032_01",-0.0312753637911876,-0.157655516450367,"IBS_before","PCoA"
"J_XYL_F_0032_02",0.0568050306611403,0.0124312627747458,"IBS_after","PCoA"
"J_XYL_F_0034_01",-0.013968297850589,0.114831888530004,"IBS_before","PCoA"
"J_XYL_F_0034_02",-0.304052270983703,0.092255715136365,"IBS_after","PCoA"
"J_XYL_F_0036_01",-0.0307768891101226,-0.03456083141929,"IBS_before","PCoA"
"J_XYL_F_0036_02",-0.0638563940682101,-0.204624834170005,"IBS_after","PCoA"
"J_XYL_F_0043_01",0.0904570049832363,0.158529364854264,"IBS_before","PCoA"
"J_XYL_F_0043_2",-0.0549637359344076,-0.183761508190857,"IBS_after","PCoA"
"J_XYL_F_0044_01",0.0483567679127535,0.112389741229166,"IBS_before","PCoA"
"J_XYL_F_0044_02",-0.10274500423434,0.05296275212611,"IBS_after","PCoA"
"J_XYL_F_0045_01",-0.469543262939031,0.117826041932903,"IBS_before","PCoA"
"J_XYL_F_0045_2",-0.436132415225829,0.122127019991886,"IBS_after","PCoA"
"J_XYL_F_0046_01",0.0923734578264043,-0.0188183298880536,"IBS_before","PCoA"
"J_XYL_F_0046_02",-0.0190237521435566,0.13801203148358,"IBS_after","PCoA"
"J_XYL_F_0047_01",-0.0907039482047613,0.205619260548277,"IBS_before","PCoA"
