"feature","pvalue","padj","mean_poor","mean_great"
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__colinum",0.0216128331386956,1,0.000272627369204855,0.00163434905343767
"k__Bacteria;p__TM7;c__TM7-3;o__;f__;g__;s__",0.0257781853912358,1,6.75905772969076e-05,0.00045145853689079
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__",0.0326557625393488,1,0.0166987376716879,0.0239442770337391
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__salivarius",0.0486489302584043,1,0.00148639094521367,0.000163872101102532
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;__;__",0.0673752477031166,1,0,0.000212146591539067
"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Akkermansia;s__muciniphila",0.0722619297522358,1,0.00930243980925978,0.00679018443248104
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales;f__Turicibacteraceae;g__Turicibacter;s__",0.0903815001022298,1,0.000571302758878722,0.00155537951297943
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;__;__",0.0909756169550557,1,4.79198135276103e-05,0.00109243677175825
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Barnesiellaceae];g__;s__",0.0929487179487174,1,0.000724095990576676,5.91686800453627e-05
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus;__",0.0932074559836653,1,0.00464905473525968,0.000262841108478738
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__;s__",0.102603298116843,1,0.00116736602400939,0.00229811260295376
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;__",0.104877691124381,1,0.0118366473063087,0.0157456354851836
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia;__",0.128300115299272,1,0.0225875857526914,0.0299057841232421
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__dentocariosa",0.136996336996337,1,1.44888899192099e-05,0.000434730523826656
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia;s__",0.142301278218198,1,0.0110757390846153,0.0154985841869901
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus;s__eutactus",0.156605218241493,1,0.00257370548008753,0.00072089227892378
"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio;s__",0.157560031355392,1,0.000874754091137857,0.00148390017797103
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Megamonas;s__",0.184902602777686,1,0.0244302518220225,0.0147872337165439
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__",0.185814773109488,1,0.00115578182011901,0.000272049223176085
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__;s__",0.191434829626152,1,0.0218427535042212,0.013425970340452
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;__",0.212318496349879,1,0.000481083233674314,0.000765496536391899
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__",0.220893850178663,1,0.0049508421615209,0.00810871739496711
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Faecalibacterium;__",0.222663668061513,1,9.5479633430023e-05,4.00663809080093e-05
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira;s__",0.228212308774085,1,0.0134037171650328,0.0113315465073044
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Catenibacterium;s__",0.235038972814084,1,0.0106472130758721,0.00275605200058534
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__",0.235871592817686,1,0.00346153397061836,0.00199977018436523
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__",0.240578937159252,1,0.000394686739153909,0.000607025034016882
"k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania;s__",0.241427970936168,1,0.000181170798166068,0.000320231220423415
